mls_id,position,club,mls2flag,hgflag,draftflag,pick,first.yr,entry.age,duration,event
alex-morrell,Forward,Chicago Fire,0,0,1,22,2016,21,1,0
baggio-husidic,Midfielder,Chicago Fire,0,0,1,20,2009,21,6,1
bakary-soumare,Defender,Chicago Fire,0,0,1,2,2007,21,2,1
benji-joya,Midfielder,Chicago Fire,0,0,0,-1,2014,20,3,0
brandon-vincent,Defender,Chicago Fire,0,0,1,4,2016,21,1,1
collin-fernandez,Midfielder,Chicago Fire,0,1,0,-1,2015,18,2,0
corben-bone,Midfielder,Chicago Fire,0,0,1,13,2010,21,5,0
cristian-nazarit,Forward,Chicago Fire,0,0,0,-1,2011,20,1,0
david-arshakyan,Forward,Chicago Fire,0,0,0,-1,2016,21,1,0
david-myrie,Defender,Chicago Fire,0,0,0,-1,2009,20,2,0
erik-hort,Defender,Chicago Fire,0,0,0,-1,2007,20,1,0
giuseppe-gentile,Forward,Chicago Fire,0,0,0,-1,2014,21,1,0
grant-ward,Midfielder,Chicago Fire,0,0,0,-1,2014,19,1,0
jerson-monteiro,Forward,Chicago Fire,0,0,1,8,2007,21,1,0
kellen-gulley,Forward,Chicago Fire,0,1,0,-1,2012,17,2,0
kingsley-bryce,Midfielder,Chicago Fire,0,0,1,28,2015,21,1,0
marco-pappa,Midfielder,Chicago Fire,0,0,0,-1,2008,20,2,1
matt-polster,Midfielder,Chicago Fire,0,0,1,7,2015,21,1,1
orr-barouch,Forward,Chicago Fire,0,0,0,-1,2011,19,4,0
rodrigo-ramos,Defender,Chicago Fire,0,0,0,-1,2016,20,1,0
stephen-king,Midfielder,Chicago Fire,0,0,1,40,2008,21,5,0
victor-pineda,Midfielder,Chicago Fire,0,1,0,-1,2010,16,5,0
yazid-atouba,Forward,Chicago Fire,0,0,1,30,2013,20,1,0
anthony-hamilton,Forward,Chivas USA,0,0,0,-1,2007,21,2,0
ben-zemanski,Midfielder,Chivas USA,0,0,1,47,2010,21,1,1
blair-gavin,Midfielder,Chivas USA,0,0,1,10,2010,21,4,0
bryan-de-la-fuente,Forward,Chivas USA,0,1,0,-1,2010,17,4,0
caleb-calvert,Forward,Chivas USA,0,1,0,-1,2013,16,4,0
cesar-zamora,Midfielder,Chivas USA,0,1,0,-1,2009,17,2,0
desmond-brooks,Defender,Chivas USA,0,0,0,-1,2007,21,1,0
emilio-orozco,Defender,Chivas USA,0,0,0,-1,2013,20,4,0
erasmo-solorzano,Midfielder,Chivas USA,0,0,0,-1,2007,21,1,0
erick-torres,Forward,Chivas USA,0,0,0,-1,2013,20,2,1
gerson-mayen,Midfielder,Chivas USA,0,0,0,-1,2008,19,4,0
giovani-casillas,Forward,Chivas USA,0,0,0,-1,2013,19,1,0
jaime-frias-flores,Defender,Chivas USA,0,0,0,-1,2013,20,1,0
jesus-padilla,Midfielder,Chivas USA,0,0,0,-1,2009,21,2,0
jorge-villafana,Defender,Chivas USA,0,0,0,-1,2007,17,5,1
jose-erick-correa,Forward,Chivas USA,0,0,0,-1,2012,19,2,0
julio-morales,Forward,Chivas USA,0,0,0,-1,2013,19,1,0
justin-braun,Forward,Chivas USA,0,0,0,-1,2008,20,3,1
kristopher-tyrpak,Forward,Chivas USA,0,0,0,-1,2014,21,1,0
marky-delgado,Midfielder,Chivas USA,0,1,0,-1,2012,16,4,1
martin-ponce,Midfielder,Chivas USA,0,0,0,-1,2013,20,1,0
marvin-iraheta,Midfielder,Chivas USA,0,0,0,-1,2012,19,2,0
matt-dunn,Midfielder,Chivas USA,0,0,0,-1,2014,20,2,0
miller-bolanos,Midfielder,Chivas USA,0,0,0,-1,2012,21,1,1
mohammed-sethi,Midfielder,Chivas USA,0,0,0,-1,2007,19,1,0
seth-owusu,Defender,Chivas USA,0,0,0,-1,2011,20,1,0
yamith-cuesta,Defender,Chivas USA,0,0,0,-1,2009,19,3,1
zarek-valentin,Defender,Chivas USA,0,0,1,4,2011,19,1,1
brian-grazier,Midfielder,Colorado Rapids,0,0,1,47,2008,21,1,0
charles-eloundou,Forward,Colorado Rapids,0,0,0,-1,2014,19,2,0
chris-klute,Defender,Colorado Rapids,0,0,0,-1,2012,21,2,1
ciaran-obrien,Midfielder,Colorado Rapids,0,0,1,5,2008,20,3,0
clifton-wilmes,Defender,Colorado Rapids,0,0,0,-1,2007,21,1,0
danny-earls,Defender,Colorado Rapids,0,0,0,-1,2010,20,2,0
davy-armstrong,Midfielder,Colorado Rapids,0,1,0,-1,2010,18,5,0
dillon-serna,Midfielder,Colorado Rapids,0,1,0,-1,2013,18,2,1
john-diraimondo,Midfielder,Colorado Rapids,0,0,0,-1,2007,20,3,0
john-neeskens,Defender,Colorado Rapids,0,0,0,-1,2014,20,1,0
josh-janniere,Midfielder,Colorado Rapids,0,1,0,-1,2011,18,2,0
juan-ramirez,Midfielder,Colorado Rapids,0,0,0,-1,2015,21,2,0
