mls_id,year,first.yr,entry.age,position,hgflag,draftflag,mls2flag,pick,V1,age,starter.yr,duration,event
aaron-hohlbein,2007,2007,21,Defender,0,0,0,-1,Sporting Kansas City,21,2009,1,0
aaron-hohlbein,2008,2007,21,Defender,0,0,0,-1,Sporting Kansas City,22,2009,2,0
aaron-hohlbein,2009,2007,21,Defender,0,0,0,-1,Sporting Kansas City,23,2009,3,1
aaron-horton,2011,2011,18,Forward,1,0,0,-1,Columbus Crew SC,18,,1,0
aaron-horton,2012,2011,18,Forward,1,0,0,-1,Columbus Crew SC,19,,2,0
aaron-horton,2013,2011,18,Forward,1,0,0,-1,Columbus Crew SC,20,,3,0
aaron-horton,2014,2011,18,Forward,1,0,0,-1,out-of-league,21,,4,0
aaron-horton,2015,2011,18,Forward,1,0,0,-1,out-of-league,22,,5,0
aaron-horton,2016,2011,18,Forward,1,0,0,-1,out-of-league,23,,6,0
aaron-kovar,2014,2014,20,Midfielder,1,0,0,-1,Seattle Sounders FC,20,,1,0
aaron-kovar,2015,2014,20,Midfielder,1,0,0,-1,Seattle Sounders FC,21,,2,0
aaron-kovar,2016,2014,20,Midfielder,1,0,0,-1,Seattle Sounders FC,22,,3,0
aaron-long,2014,2014,21,Defender,0,1,0,36,Seattle Sounders FC,21,,1,0
aaron-long,2015,2014,21,Defender,0,1,0,36,out-of-league,22,,2,0
aaron-long,2016,2014,21,Defender,0,1,0,36,New York Red Bulls,23,,3,0
aaron-maund,2012,2012,21,Defender,0,1,0,12,Toronto FC,21,2015,1,0
aaron-maund,2013,2012,21,Defender,0,1,0,12,Real Salt Lake,22,2015,2,0
aaron-maund,2014,2012,21,Defender,0,1,0,12,Real Salt Lake,23,2015,3,0
aaron-maund,2015,2012,21,Defender,0,1,0,12,Real Salt Lake,24,2015,4,1
aaron-schoenfeld,2012,2012,21,Forward,0,0,0,-1,Columbus Crew SC,21,,1,0
aaron-schoenfeld,2013,2012,21,Forward,0,0,0,-1,Columbus Crew SC,22,,2,0
aaron-schoenfeld,2014,2012,21,Forward,0,0,0,-1,Columbus Crew SC,23,,3,0
aaron-schoenfeld,2015,2012,21,Forward,0,0,0,-1,Columbus Crew SC,24,,4,0
aaron-schoenfeld,2016,2012,21,Forward,0,0,0,-1,out-of-league,25,,5,0
abdoulie-mansally,2007,2007,18,Defender,0,0,0,-1,New England Revolution,18,2009,1,0
abdoulie-mansally,2008,2007,18,Defender,0,0,0,-1,New England Revolution,19,2009,2,0
abdoulie-mansally,2009,2007,18,Defender,0,0,0,-1,New England Revolution,20,2009,3,1
adam-moffat,2007,2007,20,Midfielder,0,0,0,-1,Columbus Crew SC,20,2010,1,0
adam-moffat,2008,2007,20,Midfielder,0,0,0,-1,Columbus Crew SC,21,2010,2,0
adam-moffat,2009,2007,20,Midfielder,0,0,0,-1,Columbus Crew SC,22,2010,3,0
adam-moffat,2010,2007,20,Midfielder,0,0,0,-1,Columbus Crew SC,23,2010,4,1
adam-sloustcher,2008,2008,20,Defender,0,0,0,-1,San Jose Earthquakes,20,,1,0
adam-sloustcher,2009,2008,20,Defender,0,0,0,-1,out-of-league,21,,2,0
adam-sloustcher,2010,2008,20,Defender,0,0,0,-1,out-of-league,22,,3,0
adam-sloustcher,2011,2008,20,Defender,0,0,0,-1,out-of-league,23,,4,0
adam-sloustcher,2012,2008,20,Defender,0,0,0,-1,out-of-league,24,,5,0
adam-sloustcher,2013,2008,20,Defender,0,0,0,-1,out-of-league,25,,6,0
adam-sloustcher,2014,2008,20,Defender,0,0,0,-1,out-of-league,26,,7,0
adam-sloustcher,2015,2008,20,Defender,0,0,0,-1,out-of-league,27,,8,0
adam-sloustcher,2016,2008,20,Defender,0,0,0,-1,out-of-league,28,,9,0
adam-smarte,2008,2008,20,Forward,0,0,0,-1,San Jose Earthquakes,20,,1,0
adam-smarte,2009,2008,20,Forward,0,0,0,-1,out-of-league,21,,2,0
adam-smarte,2010,2008,20,Forward,0,0,0,-1,out-of-league,22,,3,0
adam-smarte,2011,2008,20,Forward,0,0,0,-1,out-of-league,23,,4,0
adam-smarte,2012,2008,20,Forward,0,0,0,-1,out-of-league,24,,5,0
adam-smarte,2013,2008,20,Forward,0,0,0,-1,out-of-league,25,,6,0
adam-smarte,2014,2008,20,Forward,0,0,0,-1,out-of-league,26,,7,0
adam-smarte,2015,2008,20,Forward,0,0,0,-1,out-of-league,27,,8,0
adam-smarte,2016,2008,20,Forward,0,0,0,-1,out-of-league,28,,9,0
aj-cochran,2014,2014,21,Defender,0,0,0,-1,Houston Dynamo,21,,1,0
aj-cochran,2015,2014,21,Defender,0,0,0,-1,Houston Dynamo,22,,2,0
aj-cochran,2016,2014,21,Defender,0,0,0,-1,out-of-league,23,,3,0
alam-syamsir,2013,2013,20,Midfielder,0,0,0,-1,D.C. United,20,,1,0
alam-syamsir,2014,2013,20,Midfielder,0,0,0,-1,out-of-league,21,,2,0
alam-syamsir,2015,2013,20,Midfielder,0,0,0,-1,out-of-league,22,,3,0
alam-syamsir,2016,2013,20,Midfielder,0,0,0,-1,out-of-league,23,,4,0
alec-sundly,2014,2014,21,Midfielder,0,1,0,31,New England Revolution,21,,1,0
alec-sundly,2015,2014,21,Midfielder,0,1,0,31,out-of-league,22,,2,0
alec-sundly,2016,2014,21,Midfielder,0,1,0,31,out-of-league,23,,3,0
alen-stevanovic,2011,2011,20,Midfielder,0,0,0,-1,Toronto FC,20,,1,0
alen-stevanovic,2012,2011,20,Midfielder,0,0,0,-1,out-of-league,21,,2,0
