name,mls_id,club,date_signed,birthday
Kellen Gulley,kellen-gulley,Chicago Fire,8/11/2011,4/6/1994
Victor Pineda,victor-pineda,Chicago Fire,8/17/2010,3/15/1993
Chris Ritter,chris-ritter,Chicago Fire,1/13/2014,10/29/1990
Bryan de la Fuente,bryan-de-la-fuente,Chivas USA,8/25/2010,7/1/1992
Cesar Zamora,cesar-zamora,Chivas USA,5/28/2009,5/27/1991
Davy Armstrong,davy-armstrong,Colorado Rapids,8/16/2010,11/3/1991
Josh Janniere,josh-janniere,Toronto FC,3/30/2011,11/4/1992
Shane O'Neill,Shane-oneill,Colorado Rapids,6/19/2012,9/2/1993
Chad Barson,chad-barson,Columbus Crew SC,1/10/2013,2/25/1991
Ross Friedman,ross-friedman,Columbus Crew SC,1/8/1992,1/8/2014
Aaron Horton,aaron-horton,Columbus Crew SC,5/17/2011,5/9/1992
Ben Speas,ben-speas,Columbus Crew SC,1/12/2012,1/17/1991
Matt Walker,matt-walker,Columbus Crew SC,1/8/2014,9/16/1992
Andy Najar,andy-najar,D.C. United,3/22/2010,3/16/1993
Michael Seaton,michael-seaton,D.C. United,1/14/2013,5/1/1996
Conor Shanosky,conor-shanosky,D.C. United,8/13/2010,12/13/1991
Bradlee Baladez,bradlee-baladez,FC Dallas,12/19/2012,8/8/1991
Danny Garcia,danny-garcia,FC Dallas,6/18/2013,10/14/1993
Moises Hernandez,moises-hernandez,FC Dallas,7/30/2010,3/5/1992
Bryan Leyva,bryan-leyva,FC Dallas,9/16/2009,8/2/1992
Ruben Luna,ruben-luna,FC Dallas,7/30/2010,2/10/1992
Jonathan Top,jonathan-top,FC Dallas,1/12/2011,1/26/1993
Richard Sanchez,richard-sanchez,FC Dallas,2/18/2011,4/25/1994
Alejandro Zendejas,alejandro-zendejas,FC Dallas,10/1/2014,2/7/1998
Bradley Bourgeois,bradley-bourgeois,Houston Dynamo,12/23/2015,4/13/1994
Alex Dixon,alex-dixon,Houston Dynamo,1/19/2011,1/3/1989
Francisco Navas Cobo,francisco-navas-cobo,Houston Dynamo,3/5/2010,11/17/1991
Memo Rodriguez,memo-rodriguez,Houston Dynamo,12/4/2014,12/17/1995
Bryan Salazar,bryan-salazar,Houston Dynamo,2/13/2013,10/17/1994
Josue Soto,josue-soto,Houston Dynamo,1/19/2011,2/7/1990
Tristan Bowen,tristan-bowen,LA Galaxy,11/12/2008,1/31/1991
Oscar Sorto,oscar-sorto,LA Galaxy,12/11/2012,8/8/1994
Jeremy Gagnon-Lapare,jeremy-gagnon-lapare,Montreal Impact,7/10/2014,3/9/1995
Zakaria Messoudi,zakaria-messoudi,Montreal Impact,6/4/2013,10/30/1993
Karl Ouimette,karl-ouimette,Montreal Impact,6/5/2012,6/18/1992
Maxim Tissot,maxim-tissot,Montreal Impact,2/26/2013,4/13/92
Juan Agudelo,juan-agudelo,New York Red Bulls,3/26/2010,11/23/1992
Santiago Castano,santiago-castano,New York Red Bulls,12/11/2012,4/14/1995
Giorgi Chirgadze,giorgi-chirgadze,New York Red Bulls,9/11/2009,11/23/1990
Mael Corboz,mael-corboz,New York Red Bulls,12/23/2015,9/6/1994
Matt Kassel,matt-kassel,New York Red Bulls,1/27/2011,10/30/1989
Amando Moreno,amando-moreno,New York Red Bulls,12/11/2012,9/10/1995
Sacir Hot,sacir-hot,New York Red Bulls,1/31/2011,6/10/1991
Matt Miazga,matt-miazga,New York Red Bulls,5/30/2013,7/19/1995
Scott Thomsen,scott-thomsen,New York Red Bulls,12/23/2015,12/31/1993
Chris Thorsheim,chris-thorsheim,New York Red Bulls,12/23/2015,6/30/1994
Cristhian Hernandez,cristhian-hernandez,Philadelphia Union,3/5/2012,10/30/1993
Jimmy McLaughlin,jimmy-mclaughlin,Philadelphia Union,12/12/2011,6/30/1993
Zach Pfeffer,zach-pfeffer,Philadelphia Union,12/22/2010,1/6/1995
Steven Evans,steven-evans,Portland Timbers,1/8/2013,9/19/1991
Bryan Gallego,bryan-gallego,NYRB,1/15/2014,3/10/1993
Brent Richards,brent-richards,Portland Timbers,1/4/2012,5/20/1990
Nico Muniz,nico-muniz,Real Salt Lake,9/15/2011,10/18/1992
Benjamin Lopez,benjamin-lopez,Real Salt Lake,7/17/2013,2/16/1995
Phanuel Kavita,phanuel-kavita,Real Salt Lake,1/13/2015,3/9/1993
Fito Ovalle,fito-ovalle,Real Salt Lake,3/6/2015,4/28/1997
Darwin Jones,darwin-jones,Seattle Sounders,1/9/2015,4/4/1992
Jordan Schweitzer,jordan-schweitzer,Seattle Sounders,1/7/2016,4/19/1994
DeAndre Yedlin,deandre-yedlin,Seattle Sounders,1/11/2013,7/19/1993
